field,yield_plan
36.11.06.015.00,5.297872340425532
36.11.06.016.00,7.806451612903226
36.11.06.017.00,5.171428571428572
36.11.06.018.00,5.25
36.11.06.019.00,2.5
36.11.06.019.01,7.5
36.11.06.019.02,
36.11.06.020.00,
36.11.06.020.01,3.9285714285714284
36.11.06.020.02,
36.11.06.023.00,5.0
36.11.06.024.00,8.0
36.11.06.024.01,5.0
36.11.06.024.02,
36.11.06.029.00,8.0
36.11.06.029.01,5.0
36.11.06.029.02,
36.11.06.030.00,6.090909090909091
36.11.06.031.00,7.805555555555555
36.11.06.032.00,3.48
36.11.06.035.00,3.0
36.11.06.035.01,5.0
36.11.06.035.02,
36.11.06.036.00,5.0
36.11.06.036.01,3.0
36.11.06.037.00,4.9
36.11.06.038.00,5.1
36.11.06.039.00,4.329545454545454
36.11.06.041.00,3.6315789473684212
36.11.06.044.01,7.790322580645161
36.11.06.048.00,4.369565217391305
36.11.06.049.00,4.5394736842105265
36.11.06.050.00,3.3947368421052633
36.11.06.051.00,4.318181818181818
36.11.06.052.00,4.276595744680851
36.11.06.053.00,3.0
36.11.06.053.01,5.0
36.11.06.053.02,5.0
36.11.06.055.00,3.0
36.11.06.055.01,5.0
36.11.06.055.02,
36.11.06.056.00,4.466666666666667
36.11.06.057.00,4.454545454545454
36.11.06.058.00,3.0
36.11.06.058.01,5.0
36.11.06.058.02,
36.11.06.059.00,5.086206896551724
36.11.06.060.00,4.4
36.11.06.061.00,7.5
36.11.06.061.01,2.5
36.11.06.061.02,
36.11.06.062.00,5.108695652173913
36.11.06.063.00,5.148148148148148
36.11.06.064.00,5.178571428571429
36.11.06.065.00,4.758064516129032
36.11.06.066.00,4.35
36.11.06.068.00,2.88169014084507
36.13.02.001.00,2.511
36.13.02.002.00,3.415035714285714
36.13.02.004.00,2.511
36.13.02.006.00,2.511
36.13.02.008.00,2.511
36.13.02.009.00,2.511
36.13.02.011.00,2.511
36.13.10.001.00,2.511
36.13.10.002.00,
36.13.10.002.01,2.511
36.13.12.001.00,3.74448275862069
36.13.12.002.00,4.774
36.13.12.003.00,5.856717948717949
36.13.12.004.00,4.505
36.13.12.005.00,4.3045
36.13.12.006.00,2.5
36.13.12.006.01,2.548
36.13.12.007.00,2.5
36.13.12.007.01,2.548
36.13.12.008.01,4.9595
36.13.12.008.03,5.5
36.13.12.009.00,6.482146341463415
36.13.12.010.00,6.465285714285714
36.13.12.011.00,6.378875
36.13.12.012.00,6.449209302325581
36.13.12.013.00,6.972228571428571
36.13.12.014.01,5.774
36.13.12.014.02,5.5
36.13.12.015.00,9.0
36.13.12.015.01,2.548
36.13.12.017.00,
36.13.12.017.01,2.26304
36.14.01.002.00,2.9601111111111114
36.14.01.003.00,2.9521951219512195
36.14.01.004.00,1.9
36.14.01.005.00,2.9758823529411766
36.14.01.006.01,3.0222
36.14.01.006.02,1.9
36.14.01.007.00,1.9
36.14.01.008.00,1.9
36.14.01.009.00,1.9
36.14.01.010.00,1.8999999999999997
36.14.01.011.00,1.9
36.14.01.012.00,1.9
36.14.01.013.00,3.818411214953271
36.14.01.014.00,5.358461538461539
36.14.01.015.00,7.532727272727273
36.14.01.016.00,7.75
36.14.01.017.00,6.35
36.14.01.018.00,6.174193548387097
36.14.01.019.01,
36.14.01.020.00,1.9
36.14.01.021.00,5.0625
36.14.01.022.00,5.077358490566038
36.14.01.023.01,6.250746268656717
36.14.01.025.00,4.441935483870967
36.14.01.026.00,5.051612903225807
36.14.01.027.00,5.7375
36.14.01.028.00,7.753333333333333
36.14.01.029.00,3.8997857142857146
36.14.01.030.00,4.005783582089552
36.14.01.031.00,2.658333333333333
36.14.01.032.00,8.1
36.14.01.032.01,2.5
36.14.01.032.02,2.7
36.14.01.033.00,3.5146341463414634
36.14.01.034.00,5.785714285714286
36.14.01.035.00,3.5526724137931036
36.14.01.036.00,3.518181818181818
36.14.01.037.00,4.005127659574469
36.14.01.038.00,2.63695652173913
36.14.01.039.00,4.4129
36.14.01.040.00,4.675609756097561
36.14.01.041.00,3.555
36.14.01.042.00,4.522625000000001
36.14.01.043.00,3.5898387096774194
36.14.01.044.00,2.668421052631579
36.14.01.045.00,4.217833333333334
36.14.01.046.00,4.6057500000000005
36.14.01.047.00,1.9
36.14.01.048.00,1.9
36.14.02.001.00,3.274683544303797
36.14.02.002.00,7.765116279069767
36.14.02.003.00,3.3106796116504853
36.14.02.004.00,2.9727272727272727
36.14.02.005.00,3.7588461538461537
36.14.02.006.00,6.588247422680413
36.14.02.007.00,22.787312138728325
36.14.02.008.00,2.055622641509434
36.14.02.009.00,3.1652266666666664
36.14.02.010.00,3.431602409638554
36.14.02.011.00,27.94823300970874
36.14.02.012.00,2.1178461538461537
36.14.02.013.00,2.0932631578947367
36.14.02.014.00,7.866666666666666
36.14.02.015.00,5.326229508196722
36.14.02.016.00,5.471428571428571
36.14.02.017.00,7.450819672131147
36.14.02.018.01,3.4023913043478258
36.14.02.019.00,3.4454347826086957
36.14.02.020.00,3.3667105263157895
36.14.02.022.00,7.441935483870967
36.14.02.023.00,3.422950819672131
36.14.02.024.00,4.8999999999999995
36.14.02.025.00,1.9
36.14.02.026.00,3.5898387096774194
36.14.02.027.00,6.656129032258065
36.14.02.028.00,3.3762162162162164
36.14.02.029.00,3.42
36.14.02.030.00,2.7072727272727275
36.14.02.031.00,3.0323076923076924
36.14.02.032.00,7.635483870967741
36.14.02.033.00,5.564150943396226
36.14.02.034.00,3.2796610169491527
36.14.02.035.00,5.16
36.14.02.036.00,5.4714285714285715
36.14.02.037.00,3.3219512195121954
36.14.02.038.00,2.994
36.14.02.039.00,5.427272727272728
36.14.02.040.00,5.278378378378378
36.14.02.041.00,5.504651162790698
36.14.02.042.00,4.435714285714286
36.14.02.043.00,3.2876923076923075
36.14.02.044.00,3.16
36.14.02.045.00,2.8407692307692307
36.14.02.046.00,2.3000000000000003
36.14.02.047.00,5.205882352941177
36.14.02.048.00,5.366666666666667
36.14.02.049.00,5.41764705882353
36.14.02.050.00,5.321052631578948
36.14.02.051.00,4.6000000000000005
36.14.02.052.00,4.6000000000000005
36.14.02.053.00,1.9
36.14.02.054.00,1.9
36.14.02.055.00,1.9
36.14.02.057.00,1.9
36.14.02.058.00,1.9
36.14.02.059.00,5.470212765957447
36.14.02.060.00,2.207692307692308
36.14.02.061.00,2.566666666666667
36.14.02.062.00,2.3000000000000003
36.14.02.063.00,0.5599999999999999
36.14.02.064.00,3.33
36.14.02.065.00,5.28
36.14.02.066.00,5.322857142857143
36.14.02.067.00,5.34
36.14.02.068.00,5.3
36.14.03.001.00,1.9
36.14.03.002.00,1.9
36.14.03.003.00,1.9
36.14.03.004.00,1.9
36.14.03.005.00,3.4275
36.14.03.006.00,3.523026315789474
36.14.03.007.00,5.46
36.14.03.008.01,5.517391304347826
36.14.03.009.00,6.455555555555556
36.14.03.010.00,6.438461538461539
36.14.03.011.00,5.1
36.14.03.012.00,6.290625
36.14.03.013.00,6.270967741935484
36.14.03.014.00,6.227586206896553
36.14.03.015.00,6.196875
36.14.03.016.00,6.238235294117648
36.14.03.017.00,6.31304347826087
36.14.03.018.00,6.227586206896553
36.14.03.020.00,4.162962962962963
36.14.03.021.00,6.421276595744681
36.14.03.022.00,5.4
36.14.03.023.00,7.572
36.14.03.024.00,4.442857142857143
36.14.03.025.00,3.778521126760563
36.14.03.026.00,5.135294117647058
36.14.03.027.00,5.595652173913043
36.14.03.028.00,6.657692307692309
36.14.03.029.00,3.9657534246575343
36.14.03.030.00,6.69
36.14.03.031.00,3.532628787878788
36.14.03.032.00,6.340677966101695
36.14.03.033.00,7.566666666666666
36.14.03.034.00,2.7143
36.14.03.035.00,6.642272727272727
36.14.03.036.00,3.2439583333333335
36.14.03.037.00,7.677464788732395
36.14.03.038.00,7.4837837837837835
36.14.03.039.00,3.100459770114943
36.14.03.040.00,6.6816
36.14.03.041.00,3.425408333333334
36.14.03.042.00,3.490666666666667
36.14.03.043.00,4.0
36.14.03.043.01,2.1855
36.14.03.043.02,2.2
36.14.03.044.00,6.6087096774193546
36.14.03.045.00,7.634693877551021
36.14.03.046.00,2.9836363636363634
36.14.03.047.00,6.711724137931035
36.14.03.048.00,3.3087619047619046
36.14.03.049.00,3.395166666666667
36.14.03.050.00,3.2678333333333334
36.14.03.051.00,2.0515625
36.14.03.052.00,20.660169491525423
36.14.03.053.00,6.633658536585366
36.14.03.054.00,3.501901960784314
36.14.03.055.00,2.132
36.14.03.056.00,2.0662857142857143
36.14.03.057.00,3.085272727272727
36.14.03.058.00,3.3260428571428573
36.14.04.002.00,4.375
36.14.04.003.00,4.939024390243903
36.14.04.004.00,4.861111111111111
36.14.04.005.00,4.473684210526316
36.14.04.006.00,5.075757575757576
36.14.04.007.00,3.6842105263157894
36.14.04.008.00,
36.14.04.009.00,
36.14.04.010.00,5.147058823529412
36.14.04.011.00,5.0
36.14.04.012.00,5.0
36.14.04.014.00,5.202702702702703
36.14.04.015.00,5.15625
36.14.04.016.00,4.705882352941177
36.14.04.017.00,6.5
36.14.04.018.00,6.512
36.14.04.021.00,6.2785714285714285
36.14.04.022.00,6.306976744186046
36.14.04.023.00,4.730769230769231
36.14.04.024.00,6.472727272727273
36.14.04.025.00,4.2272727272727275
36.14.04.027.00,1.7
36.14.04.028.00,5.32051282051282
36.14.04.029.00,5.131578947368421
36.14.04.030.00,5.0
36.14.04.031.00,5.6
36.14.04.031.01,7.5
36.14.04.031.02,
36.14.04.032.00,4.730769230769231
36.14.04.033.00,4.3090909090909095
36.14.04.034.00,6.02
36.14.04.035.00,5.957142857142856
36.14.04.036.00,4.785714285714286
36.14.04.038.00,6.244642857142857
36.14.04.039.00,5.78125
36.14.04.040.00,5.0396825396825395
36.14.04.041.01,4.435416666666667
36.14.04.041.02,2.6666666666666665
36.14.04.042.00,
36.14.04.042.01,18.30153846153846
36.14.04.042.02,5.127272727272727
36.14.04.042.03,5.6
36.14.04.042.04,5.6
36.14.04.042.05,5.6
36.14.04.042.06,5.6
36.14.04.042.07,5.6
36.14.04.042.08,5.6
36.14.04.042.09,5.6
36.14.04.042.10,5.6
36.14.04.042.11,5.6
36.14.04.042.12,5.6
36.14.04.042.13,5.6
36.14.04.042.14,5.6
36.14.04.042.15,5.6
36.14.04.042.16,5.6
36.14.04.042.17,5.6
36.14.04.043.00,3.35
36.14.04.044.00,4.852941176470588
36.14.04.045.00,4.4125
36.14.04.046.01,6.2333333333333325
36.14.04.046.02,2.6666666666666665
36.14.04.047.00,4.738636363636363
36.14.04.048.00,4.2272727272727275
36.14.04.049.00,4.654411764705882
36.14.04.050.00,4.0
36.14.04.050.01,5.1
36.14.04.050.02,5.1
36.14.04.051.01,4.449999999999999
36.14.04.051.02,2.6666666666666665
36.14.04.052.00,4.77
36.14.04.053.01,4.766666666666666
36.14.04.053.02,4.796551724137931
36.14.04.054.00,2.074074074074074
36.14.04.055.00,2.2285714285714286
36.14.04.056.00,6.221153846153846
36.14.04.057.00,6.256363636363636
36.14.04.058.00,1.7
36.14.04.059.00,4.8076923076923075
36.14.04.060.00,2.0
36.14.05.001.00,5.333333333333333
36.14.06.001.00,4.791666666666667
36.14.06.002.00,4.7727272727272725
36.14.06.003.00,5.862068965517241
36.14.06.004.00,4.9
36.14.06.005.00,6.09375
36.14.06.006.00,4.357142857142857
36.14.06.007.00,5.984848484848484
36.14.06.008.00,4.423076923076923
36.14.06.009.00,3.4242424242424243
36.14.06.010.00,3.4375
36.14.06.011.00,3.4482758620689653
36.14.06.012.00,3.4
36.14.06.013.00,5.645161290322581
36.14.06.014.00,6.136363636363637
36.14.06.015.00,4.45945945945946
36.14.06.016.00,4.2254901960784315
36.14.06.017.00,3.511627906976744
36.14.06.018.00,4.347368421052631
36.14.06.019.00,6.62
36.14.06.020.00,6.6971428571428575
36.14.06.021.00,4.449999999999999
36.14.06.022.00,4.5260869565217385
36.14.06.023.00,2.2083333333333335
36.14.06.024.00,2.146153846153846
36.14.06.025.00,2.2131147540983607
36.14.06.026.00,4.5
36.14.06.027.00,4.883720930232558
36.14.06.028.00,3.5365853658536586
36.14.06.029.00,5.204081632653061
36.14.06.030.00,5.8088235294117645
36.14.06.031.00,3.0
36.14.06.031.01,1.5
36.14.06.031.02,
36.14.06.032.00,6.5729729729729724
36.14.06.033.00,5.0
36.14.06.033.01,2.0
36.14.06.033.02,
36.14.06.034.00,3.6097560975609757
36.14.06.035.00,4.956521739130435
36.14.06.036.00,4.55
36.14.06.037.00,4.55
36.14.06.038.00,4.576190476190476
36.14.06.039.00,4.494999999999999
36.14.06.040.00,2.25
36.14.06.041.00,4.5260869565217385
36.14.06.042.00,4.576190476190476
36.14.06.043.00,6.6378378378378375
36.14.06.044.00,6.610526315789474
36.14.06.045.00,6.610526315789474
36.14.06.046.00,4.496774193548387
36.14.06.047.00,4.576190476190476
36.14.06.048.00,4.576190476190476
36.14.06.049.00,5.855263157894737
36.14.06.050.00,5.8088235294117645
36.14.06.051.00,4.366666666666666
36.14.06.052.00,4.347368421052631
36.14.06.053.00,3.8436363636363633
36.14.06.054.00,5.723684210526316
36.14.06.055.00,4.148936170212766
36.14.06.056.00,4.134545454545454
36.14.06.057.00,4.017021276595744
36.14.06.058.00,6.613333333333332
36.14.06.059.00,5.724137931034483
36.14.06.060.00,5.171428571428572
36.14.06.061.00,4.55
36.14.06.062.00,5.967741935483871
36.14.06.063.00,5.909090909090909
36.14.06.064.00,5.909090909090909
36.14.06.065.00,4.738636363636363
36.14.06.066.00,3.0
36.14.06.066.01,7.5
36.14.06.066.02,
36.14.06.067.00,4.4361702127659575
36.14.06.068.00,8.0
36.14.06.068.01,2.5
36.14.06.068.02,
36.14.06.069.00,5.8
36.14.06.070.00,5.36
36.14.06.071.00,4.613207547169812
36.14.06.072.00,4.78125
36.14.07.001.00,2.5
36.14.07.001.01,1.5
36.14.07.001.02,
36.14.07.002.00,5.333333333333333
36.14.07.003.00,2.1507936507936507
36.14.07.004.00,4.5
36.14.07.005.00,2.25
36.14.07.006.00,
36.14.07.006.01,2.290909090909091
36.14.07.006.02,5.394736842105263
36.14.07.007.00,1.5
36.14.07.007.01,3.0
36.14.07.007.02,2.5
36.14.07.008.00,2.25
36.14.07.009.00,3.767605633802817
36.14.07.010.00,1.7
36.14.07.012.00,5.882352941176471
36.14.07.013.00,8.0
36.14.07.013.01,2.5
36.14.07.014.00,5.5344827586206895
36.14.07.015.00,3.0
36.14.07.015.01,7.5
36.14.07.016.00,5.0
36.14.07.017.00,4.919354838709677
36.14.07.018.00,4.166666666666667
36.14.07.019.00,4.722222222222222
36.14.07.020.00,4.7727272727272725
36.14.07.021.00,6.2627906976744185
36.14.07.022.00,6.278571428571428
36.14.07.024.00,6.244067796610169
36.14.07.025.00,6.199999999999999
36.14.07.026.00,3.3227272727272723
36.14.07.027.00,3.182051282051282
36.14.07.028.00,2.9896551724137925
36.14.07.029.00,2.8945945945945946
36.14.07.030.00,8.0
36.14.07.030.01,5.0
36.14.07.030.02,
36.14.07.031.00,3.238095238095238
36.14.07.032.00,3.0783783783783782
36.14.07.033.00,3.1166666666666663
36.14.07.034.00,4.409722222222222
36.14.07.035.00,4.488888888888889
36.14.07.036.00,4.423076923076923
36.14.07.037.00,8.0
36.14.07.037.01,5.0
36.14.07.037.02,2.5
36.14.07.037.03,
36.14.07.038.00,2.888888888888889
36.14.07.039.01,4.9
36.14.07.039.02,2.6666666666666665
36.14.07.040.00,3.0
36.14.07.040.01,7.5
36.14.07.040.02,
36.14.07.041.00,4.1891891891891895
36.14.07.042.00,4.2631578947368425
36.14.07.043.00,29.46551724137931
36.14.07.044.00,8.0
36.14.07.044.01,2.5
36.14.07.044.02,
36.14.07.045.00,5.304878048780488
36.14.07.046.00,6.0
36.14.07.047.00,5.166666666666667
36.14.07.048.00,5.378787878787879
36.14.07.049.00,3.4
36.14.07.050.00,3.4
36.14.07.051.00,3.4
36.14.07.052.00,2.5
36.14.07.052.01,7.5
36.14.07.052.02,
36.14.07.053.00,4.254385964912281
36.14.07.053.01,
36.14.07.053.02,
36.14.07.053.03,
36.14.07.053.04,
36.14.07.053.05,
36.14.07.053.06,
36.14.07.053.07,
36.14.07.053.08,
36.14.07.053.09,
36.14.07.053.10,
36.14.07.053.11,
36.14.07.053.12,
36.14.07.054.00,4.776315789473684
36.14.07.055.00,4.369565217391305
36.14.07.056.01,4.605263157894737
36.14.07.056.02,2.4
36.14.07.057.01,5.071428571428571
36.14.07.057.02,2.4
36.14.07.058.00,5.6
36.14.07.058.01,3.0
36.14.07.058.02,
36.14.07.059.00,28.580645161290324
36.14.07.060.00,5.769230769230769
36.14.07.061.00,3.4
36.14.07.062.00,3.4
36.14.07.063.00,3.4
36.14.07.064.00,5.0
36.14.07.064.01,48.0
36.14.07.064.02,
36.14.07.065.00,3.509433962264151
36.14.07.066.00,3.5
36.14.07.067.00,24.196428571428573
36.14.07.068.00,23.105263157894736
36.14.07.069.00,3.617391304347826
36.14.07.070.00,3.4
36.14.07.071.00,5.862068965517241
36.14.08.001.00,5.400000000000001
36.14.08.001.01,4.5
36.14.08.001.02,
36.14.08.002.00,4.7250000000000005
36.14.08.003.00,4.6824324324324325
36.14.08.004.00,6.6975
36.14.08.005.00,0.11
36.14.08.006.00,2.5
36.14.08.007.00,3.89
36.14.08.008.00,3.331372549019608
36.14.08.009.00,2.3800000000000003
36.14.08.010.01,2.6
36.14.08.010.02,4.8342857142857145
36.14.08.011.00,4.8315789473684205
36.14.08.012.00,0.1627586206896552
36.14.08.013.00,2.615789473684211
36.14.08.014.00,0.1766666666666667
36.14.08.015.00,3.819886363636364
36.14.08.016.00,4.95
36.14.08.017.00,4.748275862068965
36.14.08.018.00,4.748275862068965
36.14.08.019.00,1.9
36.14.08.020.00,1.9
36.14.08.021.00,1.9
36.14.08.022.00,1.9
36.14.08.023.00,1.9
36.14.10.002.02,0.252
36.14.10.002.03,0.6666666666666666
36.14.10.003.01,0.255
36.14.10.003.02,0.6571428571428571
36.14.10.004.01,0.26
36.14.10.004.02,0.6642857142857143
36.14.10.005.01,0.252
36.14.10.005.02,0.26
36.14.10.006.00,7.0
36.14.10.006.01,0.22
36.14.10.006.02,0.7
36.14.10.007.00,4.505
36.14.10.008.00,3.353
36.14.10.010.00,2.0
36.14.10.012.00,2.0
36.14.11.001.00,4.778947368421052
36.14.11.002.00,
36.14.11.002.01,3.0
36.14.11.002.02,5.0
36.14.11.003.00,3.40625
36.14.11.004.00,4.875
36.14.11.005.01,4.75
36.14.11.005.02,2.5
36.14.11.005.03,2.4
36.14.11.006.00,5.8125
36.14.11.006.01,
36.14.11.006.02,
36.14.11.007.00,3.28125
36.14.11.008.00,7.5
36.14.11.009.00,4.840909090909091
36.14.11.010.00,4.329268292682927
36.14.11.011.00,5.0675675675675675
36.14.11.012.00,3.7037037037037037
36.14.11.013.00,3.4166666666666665
36.14.11.014.00,3.2
36.14.11.015.01,5.1
36.14.11.015.02,
36.14.11.016.00,4.523809523809524
36.14.11.017.00,3.9285714285714284
36.14.11.018.00,1.7
36.14.11.018.01,5.0
36.14.11.018.02,
36.14.11.019.00,4.492537313432836
36.14.11.020.00,4.333333333333333
36.14.11.021.00,6.14
36.14.11.023.01,5.0
36.14.11.023.02,2.0
36.14.11.023.03,
36.14.11.024.01,5.0
36.14.11.024.02,2.0
36.14.11.025.01,5.0
36.14.11.025.02,2.0
36.14.11.026.00,7.5
36.14.11.027.00,31.0
36.14.11.028.01,29.571428571428573
36.14.11.028.02,2.0
36.14.11.029.00,31.0
36.14.11.030.01,27.816326530612244
36.14.11.030.02,2.0
36.14.11.031.01,4.1923076923076925
36.14.11.031.02,2.0
36.14.11.032.01,5.989583333333333
36.14.11.032.02,2.0
36.14.11.033.01,6.417721518987341
36.14.11.033.02,2.0
36.14.11.033.03,
36.14.11.034.00,7.5
36.14.11.034.01,5.6
36.14.11.034.02,
36.14.11.035.00,32.91228070175438
36.14.11.036.01,4.179381443298968
36.14.11.036.02,
36.14.11.036.03,8.0
36.14.11.037.00,4.3822784810126585
36.14.11.038.00,4.317808219178082
36.14.11.039.00,4.212048192771084
36.14.11.040.00,4.431884057971015
36.14.11.040.01,
36.14.11.040.02,
36.14.11.041.00,6.462162162162162
36.14.11.042.00,6.397297297297297
36.14.11.043.00,6.245454545454546
36.14.11.044.01,6.366666666666666
36.14.11.044.02,2.4
36.14.11.045.00,4.525333333333333
36.14.11.045.01,
36.14.11.045.02,
36.14.11.045.03,
36.14.11.046.00,3.8915254237288135
36.14.11.047.00,3.9531914893617017
36.14.11.048.00,4.407407407407407
36.14.11.049.00,4.402439024390244
36.14.11.050.00,4.220000000000001
36.14.11.051.00,3.0
36.14.11.051.01,7.5
36.14.11.051.02,
36.14.11.052.00,4.71
36.14.11.053.00,4.8173076923076925
36.14.11.054.00,4.6875
36.14.11.055.00,7.5
36.14.11.055.01,7.5
36.14.11.055.02,
36.14.11.056.00,
36.14.11.056.01,5.15625
36.14.11.056.02,0.3
36.14.11.056.03,
36.14.12.002.00,7.958571428571429
36.14.12.003.00,9.0
36.14.12.004.00,8.19
36.14.12.005.00,7.6305
36.14.12.007.00,2.1
36.14.12.008.00,1.9047619047619047
36.14.12.009.00,7.48125
36.14.12.010.00,7.850769230769231
36.14.12.011.00,4.13
36.14.12.012.00,4.124
36.14.12.013.00,4.119999999999999
36.14.12.014.00,7.659230769230769
36.14.12.015.00,2.0416666666666665
36.14.12.016.00,5.85
36.14.12.017.00,7.712068965517242
36.14.12.018.00,5.503846153846154
36.14.12.019.00,7.547499999999999
36.14.12.020.00,5.524285714285714
36.14.12.021.00,7.904399999999999
36.14.12.022.00,7.672
36.14.12.023.00,2.0
36.14.12.024.00,3.38
36.14.12.025.00,4.113333333333333
36.14.12.026.00,6.51
36.14.12.027.00,6.510000000000001
36.14.12.028.00,2.0
36.14.12.029.00,2.0
36.14.12.030.00,2.0
36.14.12.031.00,7.434857142857142
36.14.12.032.00,7.641818181818182
36.14.12.033.00,6.51
36.14.12.034.00,6.51
36.14.12.035.00,4.14
36.14.12.036.00,2.0
36.14.12.037.00,4.124
36.14.12.038.00,4.113333333333333
36.14.12.039.00,8.15625
36.14.12.040.00,2.0
36.14.12.041.00,2.0
36.14.12.042.00,4.14
36.14.12.042.01,3.0
36.14.12.043.00,4.1
36.14.12.044.00,6.827586206896552
36.14.12.045.00,6.325
36.14.12.046.00,7.65
36.14.12.046.01,5.0
36.14.12.047.00,3.0
36.14.12.048.00,7.65
36.14.12.048.01,5.0
36.14.12.049.00,5.677272727272727
36.14.12.050.00,4.977142857142857
36.14.12.051.00,
36.14.12.051.01,9.0
36.14.12.051.02,6.836666666666666
36.14.12.052.00,3.15
36.14.12.053.00,5.790000000000001
36.14.12.054.00,2.0
36.14.12.055.00,7.65
36.14.12.055.01,5.0
36.14.12.055.02,9.0
36.14.12.056.00,7.65
36.14.12.056.01,
36.14.12.056.02,
36.14.12.057.00,4.13
36.14.12.059.00,4.119999999999999
36.14.12.060.00,
36.14.12.061.00,
36.14.12.062.00,2.0
36.14.12.063.00,4.14
36.14.12.064.00,8.415
36.14.12.065.01,6.261904761904762
36.14.12.065.02,5.489999999999999
36.14.12.066.00,4.95
36.14.12.067.00,4.95
36.14.12.068.00,
36.14.12.069.00,4.95
36.14.12.070.00,3.15
36.14.12.071.00,4.126666666666666
36.14.12.072.00,7.397222222222222
36.14.12.073.00,6.12875
36.14.12.074.00,4.95
36.14.12.074.01,7.0
36.14.12.075.00,6.870588235294118
36.14.12.076.00,4.133333333333333
36.14.12.077.00,4.48
36.14.12.078.00,6.275925925925926
36.14.12.079.00,6.357317073170733
36.14.12.080.00,
36.14.12.081.00,2.0
36.14.12.082.00,3.9000000000000004
36.14.12.083.00,4.9750000000000005
36.14.12.084.00,4.9739130434782615
36.14.12.085.00,5.0
36.14.12.085.01,7.65
36.14.12.085.02,4.14
36.14.12.086.00,6.382608695652174
36.14.12.087.01,6.382608695652174
36.14.12.087.02,6.51
36.14.12.088.00,6.374074074074074
36.14.12.089.00,4.14
36.14.12.090.00,8.22857142857143
36.14.12.091.00,8.068965517241379
36.14.12.092.00,4.1
36.14.12.093.00,4.1
36.14.12.094.00,7.650000000000001
36.14.12.095.00,7.65
36.14.12.096.00,1.6
36.14.12.097.00,5.818695652173912
36.14.12.098.00,7.650000000000001
36.14.12.098.02,7.0
36.14.12.099.00,4.13
36.14.12.100.00,4.124
36.14.12.101.00,4.12
36.14.12.102.00,4.124
36.14.12.103.00,5.829999999999999
36.14.12.104.00,8.232631578947368
36.14.12.105.00,6.917142857142856
36.14.12.106.00,
36.14.12.107.00,2.0
36.14.12.108.00,2.0
36.14.12.109.00,4.124
36.14.12.110.00,4.12
36.14.12.111.00,4.1
36.14.12.112.00,2.0
36.14.12.113.00,2.0
36.14.12.115.00,4.124
36.14.12.116.00,4.124
36.14.12.117.00,4.12
36.14.12.118.00,3.15
36.14.12.120.00,3.36
36.14.12.121.00,3.0
36.14.12.122.00,3.285
36.14.12.123.00,4.14
36.14.12.123.01,3.0
36.14.13.001.00,4.3141428571428575
36.14.13.002.00,21.573834951456313
36.14.13.003.00,23.489000000000004
36.14.13.004.00,4.233333333333333
36.14.13.005.00,23.463454545454546
36.14.13.006.00,22.492727272727276
36.14.13.007.00,5.586666666666667
36.14.13.008.00,23.548842592592592
36.14.13.009.00,22.940425531914897
36.14.13.010.00,2.8711340206185567
36.14.13.011.00,3.1739130434782608
36.14.13.012.00,3.7716545454545454
36.14.13.013.00,4.848122093023256
36.14.13.014.00,3.8082957746478874
36.14.13.015.00,
36.14.13.016.00,
36.14.14.002.01,4.852941176470588
36.14.14.002.02,2.0
36.14.14.003.00,4.7727272727272725
36.14.14.004.00,
36.14.14.006.00,3.4
36.14.14.007.00,4.919354838709677
36.14.14.008.00,5.0
36.14.14.009.00,4.709302325581396
36.14.14.010.00,4.611111111111111
36.14.14.011.00,5.15625
36.14.14.012.00,5.3125
36.14.14.013.00,4.673913043478261
36.14.14.014.00,4.21875
36.14.14.015.00,4.166666666666667
36.14.14.017.00,5.14
36.14.14.018.00,7.796296296296297
36.14.14.019.00,5.303921568627451
36.14.14.020.00,5.75
36.14.14.021.00,5.245098039215686
36.14.14.022.00,5.113636363636363
36.14.14.023.00,2.5
36.14.14.023.01,2.5
36.14.14.023.02,
36.14.14.024.00,5.828947368421052
36.14.14.025.00,8.0
36.14.14.025.01,2.5
36.14.14.025.02,
36.14.14.026.00,5.1
36.14.14.027.00,4.913793103448276
36.14.14.028.00,4.659090909090909
36.14.14.029.00,4.228395061728395
36.14.15.001.00,4.554977777777777
36.14.15.002.01,4.279333333333334
36.14.15.002.02,3.367027027027027
36.14.15.002.03,3.0
36.14.15.003.00,2.9718
36.14.15.004.00,2.910222222222222
36.14.15.005.01,2.8972857142857147
36.14.15.005.02,5.493333333333333
36.14.15.005.03,0.6999999999999998
36.14.15.006.00,3.7832
36.14.15.007.00,4.57184
36.14.15.008.00,4.87536
36.14.15.009.00,7.0
36.14.15.009.01,0.22
36.14.15.009.02,0.7
36.14.15.010.00,4.866162424242424
36.14.15.011.00,4.9370125
36.14.15.012.00,4.87536
36.14.15.013.00,7.0
36.14.15.013.01,0.22
36.14.15.013.02,0.6999999999999998
36.14.15.014.00,4.3870588235294115
36.14.15.015.00,0.7
36.14.15.016.00,3.6666000000000003
36.14.15.017.00,4.018304347826088
36.14.16.001.00,3.545865671641791
36.14.16.002.00,3.647655737704918
36.14.16.003.00,2.671555555555556
36.14.16.004.00,2.738888888888889
36.14.16.005.00,3.0306666666666664
36.14.16.006.00,3.5521739130434784
36.14.16.007.00,3.00078431372549
36.14.16.008.00,2.985472972972973
36.14.16.009.00,3.696716417910448
36.14.16.010.00,2.8825
36.14.16.011.00,2.8976190476190475
